Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,871344,1500,WIPROPT,WIPRO24JUN470PE,27-JUN-2024,OPTSTK,PE,470,0.05,
BFO,873101,1500,WIPROPT,WIPRO24JUN465PE,27-JUN-2024,OPTSTK,PE,465,0.05,
BFO,872908,1500,WIPROPT,WIPRO24JUN460PE,27-JUN-2024,OPTSTK,PE,460,0.05,
BFO,874743,1500,WIPROPT,WIPRO24JUN455PE,27-JUN-2024,OPTSTK,PE,455,0.05,
BFO,874539,1500,WIPROPT,WIPRO24JUN450PE,27-JUN-2024,OPTSTK,PE,450,0.05,
BFO,876308,1500,WIPROPT,WIPRO24JUN445PE,27-JUN-2024,OPTSTK,PE,445,0.05,
BFO,2206857,1500,WIPROPT,WIPRO24JUN440PE,27-JUN-2024,OPTSTK,PE,440,0.05,
BFO,881191,1500,WIPROPT,WIPRO24JUN435PE,27-JUN-2024,OPTSTK,PE,435,0.05,
BFO,2098080,1500,WIPROPT,WIPRO24JUN430PE,27-JUN-2024,OPTSTK,PE,430,0.05,
BFO,881280,1500,WIPROPT,WIPRO24JUN425PE,27-JUN-2024,OPTSTK,PE,425,0.05,
BFO,2213654,1500,WIPROPT,WIPRO24JUN420PE,27-JUN-2024,OPTSTK,PE,420,0.05,
BFO,881555,1500,WIPROPT,WIPRO24JUN415PE,27-JUN-2024,OPTSTK,PE,415,0.05,
BFO,2203348,1500,WIPROPT,WIPRO24JUN410PE,27-JUN-2024,OPTSTK,PE,410,0.05,
BFO,2023410,1500,WIPROPT,WIPRO24JUN405PE,27-JUN-2024,OPTSTK,PE,405,0.05,
BFO,2221940,1500,WIPROPT,WIPRO24JUN400PE,27-JUN-2024,OPTSTK,PE,400,0.05,
BFO,2095802,1500,WIPROPT,WIPRO24JUN530CE,27-JUN-2024,OPTSTK,CE,530,0.05,
BFO,880037,1500,WIPROPT,WIPRO24JUN525CE,27-JUN-2024,OPTSTK,CE,525,0.05,
BFO,2210460,1500,WIPROPT,WIPRO24JUN520CE,27-JUN-2024,OPTSTK,CE,520,0.05,
BFO,872415,1500,WIPROPT,WIPRO24JUN515CE,27-JUN-2024,OPTSTK,CE,515,0.05,
BFO,872239,1500,WIPROPT,WIPRO24JUN510CE,27-JUN-2024,OPTSTK,CE,510,0.05,
BFO,874019,1500,WIPROPT,WIPRO24JUN505CE,27-JUN-2024,OPTSTK,CE,505,0.05,
BFO,873833,1500,WIPROPT,WIPRO24JUN500CE,27-JUN-2024,OPTSTK,CE,500,0.05,
BFO,875054,1500,WIPROPT,WIPRO24JUN495CE,27-JUN-2024,OPTSTK,CE,495,0.05,
BFO,874841,1500,WIPROPT,WIPRO24JUN490CE,27-JUN-2024,OPTSTK,CE,490,0.05,
BFO,876577,1500,WIPROPT,WIPRO24JUN485CE,27-JUN-2024,OPTSTK,CE,485,0.05,
